                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7547,                 4.1466,                  1.533,                      0,                      0,                      0,                      0,                 4.4377,                 6.5518,                 3.9206,                      0,                      0,                      0
                      2,                 1.8884,                 4.6613,                 1.7113,                      0,                      0,                      0,                      0,                 4.3451,                  6.553,                 3.8006,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.7547,                 4.1466,                  1.533,                      0,                      0,                      0,                      0,                 4.4377,                 6.5518,                 3.9206,                      0,                      0,                      0
                      2,                 1.8884,                 4.6613,                 1.7113,                      0,                      0,                      0,                      0,                 4.3451,                  6.553,                 3.8006,             6.3125e-06,             6.3125e-06,             6.3125e-06
