                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6289,                  4.327,                 1.4735,                 0.0034,                    0.5,                 0.0995,                0.03349,                  2.175,                 5.3793,                 2.6916,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00338,                    0.5,                 0.0995,                0.03358,                 2.1221,                 5.3102,                 2.6638,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00216,                    0.5,                0.08292,                0.02721,                 2.5155,                 5.5274,                 2.8393,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00215,                    0.5,                 0.0995,                0.03226,                 2.4906,                 5.4438,                  2.822,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00588,                   0.75,                0.05663,                0.01904,                 2.4348,                 4.9151,                 2.4521,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00596,                   0.75,                0.06097,                0.02045,                 2.4284,                 4.8705,                 2.4511,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00474,                  0.375,                0.01896,                0.00658,                  1.833,                 4.7382,                 1.8237,                      0,                      0,                      0
                      1,                  1.798,                 4.2411,                 1.4982,                0.00476,                  0.375,                0.01851,                0.00646,                 1.8358,                 4.7454,                 1.8314,                      0,                      0,                      0
                      2,                 1.5094,                 3.8049,                 1.5474,                0.00485,                  0.375,                0.02044,                0.00705,                  1.848,                 4.7329,                 1.8461,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00421,                0.61667,                0.01028,                0.00372,                 1.8765,                  4.619,                  1.935,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00428,                0.61667,                0.01067,                0.00386,                 1.8871,                 4.6307,                 1.9411,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00421,                0.61667,                0.01028,                0.00372,                 1.8765,                  4.619,                  1.935,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00428,                0.61667,                0.01067,                0.00386,                 1.8871,                 4.6307,                 1.9411,             6.3125e-06,             6.3125e-06,             6.3125e-06
