                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2515,                 1.7427,                 1.4341,                0.00667,                      1,                  0.995,                0.84559,                0.77711,                 2.5288,                 1.1178,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.5778,                  2.212,                 1.5846,                0.00667,                      1,                  0.995,                0.84559,                0.77711,                 2.5288,                 1.1178,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.1277,                  1.704,                 1.3224,                0.00667,                      1,                  0.995,                 0.8955,                0.59862,                 2.4298,                 1.0538,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.0707,                 1.4268,                 1.1406,                0.00667,                      1,                  0.995,                 0.8955,                0.59862,                 2.4298,                 1.0538,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.3254,                  1.663,                 1.4302,                0.00667,                      1,                  0.995,                0.84559,                0.60573,                 2.3867,                 1.0284,             0.00046339,             0.00046339,             0.00046339
                     38,                0.84205,                 1.2628,                  1.059,                0.00667,                      1,                  0.995,                0.84559,                0.60573,                 2.3867,                 1.0284,             0.00046894,             0.00046894,             0.00046894
                     39,                0.57217,                0.92253,                0.93233,                0.50341,                      1,                  0.995,                0.84559,                0.80061,                 2.3794,                  1.078,             0.00047409,             0.00047409,             0.00047409
                     40,                  1.079,                 1.9142,                 1.3559,                0.50341,                      1,                  0.995,                0.84559,                0.80061,                 2.3794,                  1.078,             0.00047884,             0.00047884,             0.00047884
                     41,                 2.0406,                 4.6623,                 2.1127,                0.00667,                      1,                  0.995,                  0.796,                 1.0271,                 2.5754,                 1.1853,              0.0004832,              0.0004832,              0.0004832
                     42,                0.86082,                  1.618,                 1.3565,                0.00667,                      1,                  0.995,                  0.796,                 1.0271,                 2.5754,                 1.1853,             0.00048716,             0.00048716,             0.00048716
                     43,                0.99575,                 2.1658,                 1.1917,                0.00667,                      1,                0.82833,                0.56338,                 1.3784,                 3.0487,                 1.5005,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.0089,                 1.6261,                 1.1929,                0.00667,                      1,                0.82833,                0.56338,                 1.3784,                 3.0487,                 1.5005,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.4248,                 2.7174,                 1.5575,                0.00667,                      1,                0.50889,                0.39985,                 1.0308,                 2.9956,                 1.3675,             0.00049667,             0.00049667,             0.00049667
                     46,                0.92273,                 1.9834,                 1.0985,                0.00667,                      1,                0.50889,                0.39985,                 1.0308,                 2.9956,                 1.3675,             0.00049905,             0.00049905,             0.00049905
                     47,                  1.028,                 1.9906,                 1.1841,                0.00667,                      1,                  0.995,                 0.8955,                0.67854,                  2.783,                  1.094,             0.00050103,             0.00050103,             0.00050103
                     48,                0.70525,                 1.6604,                 1.0626,                0.00667,                      1,                  0.995,                 0.8955,                0.67854,                  2.783,                  1.094,             0.00050262,             0.00050262,             0.00050262
                     49,                0.73416,                 2.4317,                0.97519,                0.00667,                      1,                  0.995,                0.94509,                 0.5936,                  2.625,                 1.0316,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.5133,                 1.7995,                 1.6421,                0.00667,                      1,                  0.995,                0.94509,                 0.5936,                  2.625,                 1.0316,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.3035,                 2.3477,                 1.4698,                0.00667,                      1,                  0.995,                 0.8955,                0.90424,                 2.5907,                 1.0697,               0.000505,               0.000505,               0.000505
