                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5587,                 4.3147,                  1.296,                      0,                      0,                      0,                      0,                 1.0435,                 4.5413,                 1.0783,                      0,                      0,                      0
                      2,                 2.1593,                 4.1768,                 2.0367,                      0,                      0,                      0,                      0,                 1.0387,                 4.5375,                 1.0758,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.5587,                 4.3147,                  1.296,                      0,                      0,                      0,                      0,                 1.3623,                 4.7456,                 1.3467,                      0,                      0,                      0
                      2,                 2.1593,                 4.1768,                 2.0367,                      0,                      0,                      0,                      0,                 1.3849,                 4.7271,                 1.3632,             6.3125e-06,             6.3125e-06,             6.3125e-06
