                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7547,                 4.1466,                  1.533,                0.01441,                      1,                0.01871,                0.00786,                 2.0535,                 4.1566,                 2.3716,                      0,                      0,                      0
                      2,                 1.8884,                 4.6613,                 1.7113,                0.01436,                      1,                0.01805,                0.00781,                 2.0942,                 4.2056,                 2.3152,             1.0025e-05,             1.0025e-05,             1.0025e-05
                      3,                 2.1368,                 4.9227,                 1.7266,                0.01431,                      1,                0.01716,                 0.0078,                 2.0878,                 4.2201,                 2.2841,               1.51e-05,               1.51e-05,               1.51e-05
                      4,                 1.9905,                 4.1463,                 1.7868,                0.01427,                      1,                0.01728,                0.00706,                 1.9323,                 4.2888,                 2.2464,             1.5225e-05,             1.5225e-05,             1.5225e-05
                      5,                 1.6509,                 3.8655,                 1.4316,                0.01451,                      1,                0.01811,                0.00742,                 1.7933,                 4.3968,                 2.2081,               1.04e-05,               1.04e-05,               1.04e-05
                      1,                 1.7547,                 4.1466,                  1.533,                0.00711,                   0.75,                0.00855,                0.00362,                 2.3526,                 4.9347,                 2.5278,                      0,                      0,                      0
                      2,                 1.8884,                 4.6613,                 1.7113,                0.00707,                   0.75,                0.00851,                0.00367,                 2.3979,                 5.0177,                 2.4939,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00457,                0.83333,                0.03138,                0.01116,                 2.1105,                 4.7007,                 2.5305,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00459,                0.83333,                0.03134,                0.01124,                 2.0924,                 4.7344,                 2.5047,             6.3125e-06,             6.3125e-06,             6.3125e-06
                      1,                 1.6289,                  4.327,                 1.4735,                0.00344,                0.77778,                0.02815,                0.00976,                 2.3122,                 4.9078,                 2.6424,                      0,                      0,                      0
                      2,                 2.0264,                 4.1182,                 2.0456,                0.00345,                0.77778,                0.03025,                0.01046,                 2.3135,                 4.9247,                 2.6282,             6.3125e-06,             6.3125e-06,             6.3125e-06
