                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3669,                 4.3086,                 1.9678,                0.00621,                   0.25,                0.03736,                0.01325,                 1.2632,                 4.4823,                 1.4525,                      0,                      0,                      0
                      2,                  1.253,                 3.7506,                 1.3841,                0.00617,                   0.25,                0.04318,                0.01513,                 1.2647,                 4.4695,                 1.4801,             1.0025e-05,             1.0025e-05,             1.0025e-05
                      1,                 2.3669,                 4.3086,                 1.9678,                 0.0078,                  0.625,                0.04075,                0.01447,                 1.5673,                 4.3925,                 1.5983,                      0,                      0,                      0
                      2,                  1.253,                 3.7506,                 1.3841,                0.00805,                  0.625,                0.04128,                0.01468,                 1.5747,                 4.3807,                 1.6215,             1.0025e-05,             1.0025e-05,             1.0025e-05
                      3,                  1.919,                 3.8893,                 1.8124,                0.00815,                  0.625,                0.04211,                0.01334,                 1.5437,                 4.3629,                 1.6141,               1.51e-05,               1.51e-05,               1.51e-05
                      4,                 2.4653,                 4.3443,                 2.3151,                0.00835,                  0.625,                0.04524,                0.01428,                 1.5223,                 4.3664,                 1.6043,             1.5225e-05,             1.5225e-05,             1.5225e-05
                      5,                 1.9785,                 4.1643,                 1.8269,                0.00848,                  0.625,                0.04591,                0.01453,                 1.5178,                 4.3696,                 1.5959,               1.04e-05,               1.04e-05,               1.04e-05
