                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9943,                 3.8769,                 1.8081,                      0,                      0,                      0,                      0,                 1.8091,                 4.3907,                 1.9239,                      0,                      0,                      0
                      2,                 2.2347,                  3.954,                 1.9639,                      0,                      0,                      0,                      0,                 1.8513,                 4.3363,                 1.9911,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                 1.9134,                 3.6668,                 1.6783,                      0,                      0,                      0,                      0,                 1.7685,                 4.3327,                 1.9128,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                 1.8206,                 3.9739,                 1.6437,                0.00264,                0.16667,                 0.0034,                0.00068,                 1.7546,                   4.32,                 1.9095,             2.0304e-05,             2.0304e-05,             2.0304e-05
                      5,                 1.7831,                 3.6249,                 1.6694,                 0.0026,                0.16667,                0.00352,                 0.0007,                  1.724,                 4.3178,                 1.8854,             1.3869e-05,             1.3869e-05,             1.3869e-05
                      1,                 1.9943,                 3.8769,                 1.8081,                0.00195,                0.14286,                0.00276,                0.00028,                 1.9675,                 4.5182,                  2.061,                      0,                      0,                      0
                      2,                 2.2347,                  3.954,                 1.9639,                0.00193,                0.14286,                0.00255,                0.00025,                 1.9988,                 4.4657,                 2.1149,             1.3919e-05,             1.3919e-05,             1.3919e-05
                      3,                 1.9143,                 3.6666,                 1.6792,                0.00191,                0.14286,                0.00243,                0.00024,                 1.9324,                 4.4646,                 2.0515,             2.2338e-05,             2.2338e-05,             2.2338e-05
                      4,                 1.8147,                 3.9695,                 1.6447,                0.00375,                0.28571,                0.00728,                0.00097,                 1.8997,                 4.4397,                 2.0263,             2.5255e-05,             2.5255e-05,             2.5255e-05
                      5,                 1.8008,                 3.6077,                 1.6786,                0.00371,                0.28571,                0.00637,                0.00105,                 1.8768,                  4.436,                 2.0027,             2.2671e-05,             2.2671e-05,             2.2671e-05
                      6,                 1.6152,                 3.7763,                 1.5211,                0.00364,                0.28571,                0.00594,                0.00101,                 1.8712,                 4.4322,                 1.9764,             1.4586e-05,             1.4586e-05,             1.4586e-05
                      1,                 1.8704,                 3.8681,                  1.816,                0.00126,                0.11111,                0.00173,                0.00017,                 2.1023,                 4.9019,                 2.0959,                      0,                      0,                      0
                      2,                 1.4959,                  3.946,                 1.4646,                0.00125,                0.11111,                0.00166,                0.00017,                 2.1155,                 4.8557,                 2.1455,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                 1.7725,                 3.7334,                 1.7413,                0.00123,                0.11111,                0.00147,                0.00015,                 2.1114,                 4.8309,                 2.1191,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                  2.389,                 4.0528,                 2.1746,                0.00119,                0.11111,                0.00132,                0.00013,                 2.0987,                 4.7877,                  2.107,             2.0304e-05,             2.0304e-05,             2.0304e-05
                      5,                  1.737,                  3.718,                  1.653,                0.00356,                0.33333,                0.00427,                0.00066,                 2.1029,                 4.7744,                 2.1151,             1.3869e-05,             1.3869e-05,             1.3869e-05
                      1,                 1.8704,                 3.8681,                  1.816,                0.00293,                0.23077,                0.00642,                0.00147,                 1.6519,                 4.4009,                 1.8459,                      0,                      0,                      0
                      2,                 1.4959,                  3.946,                 1.4646,                0.00289,                0.23077,                0.00676,                 0.0015,                 1.6603,                 4.3734,                 1.8711,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                 1.7725,                 3.7334,                 1.7413,                 0.0038,                0.30769,                 0.0067,                0.00194,                 1.6612,                  4.361,                 1.8642,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                  2.389,                 4.0528,                 2.1746,                0.00369,                0.30769,                 0.0063,                0.00194,                 1.6563,                 4.3375,                 1.8614,             2.0304e-05,             2.0304e-05,             2.0304e-05
