                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6753,                 2.9145,                 2.6199,                  0.025,                0.44118,                0.02866,                0.00917,                  3.123,                 3.1266,                 3.1031,                      0,                      0,                      0
                      2,                 2.9558,                  2.862,                 2.9014,                  0.025,                0.44118,                0.02908,                0.00952,                 3.1095,                 3.1296,                 3.0876,               1.01e-05,               1.01e-05,               1.01e-05
                      1,                 2.6753,                 2.9145,                 2.6199,                  0.025,                0.44118,                0.02866,                0.00917,                  3.123,                 3.1266,                 3.1031,                      0,                      0,                      0
                      2,                 2.9558,                  2.862,                 2.9014,                  0.025,                0.44118,                0.02908,                0.00952,                 3.1095,                 3.1296,                 3.0876,               1.01e-05,               1.01e-05,               1.01e-05
