                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6753,                 2.9145,                 2.6199,                0.03333,                0.58824,                0.04626,                0.01529,                 2.8348,                 3.0044,                 2.9013,                      0,                      0,                      0
                      2,                 2.9558,                  2.862,                 2.9014,                   0.03,                0.52941,                0.05141,                0.01633,                 2.8232,                 3.0194,                 2.8956,              1.901e-05,              1.901e-05,              1.901e-05
                      3,                 2.6769,                 2.9866,                 2.6063,                   0.03,                0.52941,                0.04396,                0.01645,                 2.7141,                 3.0161,                 2.8377,              3.604e-05,              3.604e-05,              3.604e-05
                      4,                 2.4338,                 2.7581,                 2.5605,                0.03333,                0.58824,                0.04199,                0.01428,                 2.6446,                 3.0323,                 2.8302,              5.109e-05,              5.109e-05,              5.109e-05
                      5,                  2.656,                 2.9584,                 2.6095,                0.02667,                0.47059,                0.04354,                0.01534,                 2.6263,                 3.0343,                 2.7997,              6.416e-05,              6.416e-05,              6.416e-05
                      6,                 2.4987,                 2.9786,                 2.4255,                0.02667,                0.47059,                0.07733,                 0.0207,                  2.583,                 3.0235,                 2.7602,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 2.4984,                 2.9058,                  2.449,                0.02667,                0.47059,                0.08773,                0.03138,                 2.5557,                 3.0132,                 2.7452,              8.436e-05,              8.436e-05,              8.436e-05
                      8,                 2.3582,                 2.8255,                 2.4456,                0.02333,                0.41176,                0.07127,                0.02986,                 2.5033,                 3.0059,                 2.6888,              9.149e-05,              9.149e-05,              9.149e-05
                      9,                 2.6457,                 2.9558,                 2.4928,                0.02333,                0.41176,                0.12014,                0.05456,                 2.4189,                  3.022,                 2.6521,              9.664e-05,              9.664e-05,              9.664e-05
                     10,                 2.3961,                   2.88,                 2.3696,                0.02667,                0.47059,                0.13587,                0.07551,                 2.3881,                 3.0238,                 2.5965,              9.981e-05,              9.981e-05,              9.981e-05
                     11,                 2.6479,                 2.9687,                 2.6488,                0.02667,                0.47059,                0.13553,                0.07494,                  2.361,                  3.017,                 2.5628,               0.000101,               0.000101,               0.000101
                     12,                 2.6824,                 3.0341,                 2.6871,                0.02667,                0.47059,                0.13333,                 0.0751,                 2.3634,                 3.0141,                 2.5347,             0.00010021,             0.00010021,             0.00010021
                     13,                  2.331,                   3.03,                 2.4144,                   0.03,                0.52941,                0.13519,                0.07683,                 2.3641,                 3.0179,                 2.5443,              9.744e-05,              9.744e-05,              9.744e-05
                     14,                 2.5662,                 2.8884,                 2.5618,                   0.03,                0.52941,                0.13744,                0.07683,                 2.3932,                 3.0196,                 2.5679,              9.269e-05,              9.269e-05,              9.269e-05
                     15,                 2.3843,                 2.8634,                 2.4395,                0.02667,                0.47059,                0.11572,                0.07399,                 2.3837,                 3.0207,                 2.5678,              8.596e-05,              8.596e-05,              8.596e-05
                     16,                 2.2122,                 2.8795,                 2.3948,                0.02667,                0.47059,                0.10634,                0.06922,                 2.3906,                 3.0146,                 2.5667,              7.725e-05,              7.725e-05,              7.725e-05
                     17,                 2.3733,                  2.774,                 2.5083,                0.02667,                0.47059,                 0.0995,                0.06333,                  2.365,                 3.0007,                 2.5429,              6.656e-05,              6.656e-05,              6.656e-05
                     18,                 2.2375,                 2.7417,                 2.3911,                0.02667,                0.47059,                 0.0995,                0.06333,                  2.365,                 3.0007,                 2.5429,              5.389e-05,              5.389e-05,              5.389e-05
                     19,                 2.2093,                 2.7461,                  2.368,                0.03333,                0.58824,                 0.1004,                0.07033,                 2.3576,                 2.9902,                 2.5282,              3.924e-05,              3.924e-05,              3.924e-05
                     20,                 2.2799,                  2.821,                 2.3333,                0.03333,                0.58824,                 0.1004,                0.07033,                 2.3576,                 2.9902,                 2.5282,              2.261e-05,              2.261e-05,              2.261e-05
