                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7253,                 3.8773,                  1.531,                0.00885,                0.33333,                0.00642,                0.00257,                 1.0368,                 4.1909,                 1.0744,                      0,                      0,                      0
                      2,                 1.8395,                  4.365,                 1.6894,                 0.0087,                0.33333,                0.00634,                0.00317,                 1.0437,                 4.1698,                 1.0649,             8.4184e-06,             8.4184e-06,             8.4184e-06
                      1,                 1.5813,                 4.0729,                 1.4492,                0.00439,                   0.25,                0.00293,                0.00146,                 1.3553,                 4.4037,                 1.3423,                      0,                      0,                      0
                      2,                 2.0038,                 3.8791,                 2.0872,                0.00431,                   0.25,                0.00293,                0.00117,                 1.3695,                  4.385,                  1.351,             8.4184e-06,             8.4184e-06,             8.4184e-06
                      1,                 1.5813,                 4.0729,                 1.4492,                0.00439,                   0.25,                0.00293,                0.00146,                 1.3553,                 4.4037,                 1.3423,                      0,                      0,                      0
                      2,                 2.0038,                 3.8791,                 2.0872,                0.00431,                   0.25,                0.00293,                0.00117,                 1.3695,                  4.385,                  1.351,             8.4184e-06,             8.4184e-06,             8.4184e-06
