                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3583,                 3.9703,                 1.9692,                      0,                      0,                      0,                      0,                 1.7856,                 4.3105,                 1.8218,                      0,                      0,                      0
                      2,                 1.2608,                 3.4727,                 1.3937,                      0,                      0,                      0,                      0,                 1.8301,                 4.2691,                 1.9018,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                  1.944,                 3.5923,                  1.814,                      0,                      0,                      0,                      0,                 1.7434,                 4.2758,                 1.8095,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                 2.4136,                 3.9579,                 2.2381,                      0,                      0,                      0,                      0,                 1.7466,                 4.2799,                  1.802,             2.0304e-05,             2.0304e-05,             2.0304e-05
                      5,                 1.9914,                 3.8658,                  1.861,                      0,                      0,                      0,                      0,                 1.7517,                 4.2714,                 1.7938,             1.3869e-05,             1.3869e-05,             1.3869e-05
                      1,                 2.3583,                 3.9703,                 1.9692,                      0,                      0,                      0,                      0,                 1.9346,                 4.6082,                  1.927,                      0,                      0,                      0
                      2,                 1.2608,                 3.4727,                 1.3937,                      0,                      0,                      0,                      0,                 1.9779,                 4.5606,                  2.005,             1.2544e-05,             1.2544e-05,             1.2544e-05
                      3,                 1.9438,                 3.5907,                 1.8129,                      0,                      0,                      0,                      0,                 1.9169,                 4.5573,                 1.9329,             1.6837e-05,             1.6837e-05,             1.6837e-05
                      4,                 2.4169,                 3.9628,                 2.2397,                      0,                      0,                      0,                      0,                  1.934,                 4.5569,                 1.9382,             1.2878e-05,             1.2878e-05,             1.2878e-05
                      1,                 2.3583,                 3.9703,                 1.9692,                0.00185,                0.14286,                0.00329,                0.00033,                 2.1043,                 4.7281,                 2.0877,                      0,                      0,                      0
                      2,                 1.2608,                 3.4727,                 1.3937,                0.00184,                0.14286,                 0.0032,                0.00032,                 2.1447,                 4.6769,                 2.1541,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                  1.944,                 3.5923,                  1.814,                0.00184,                0.14286,                0.00292,                0.00029,                 2.0835,                 4.6759,                 2.0854,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                 2.4136,                 3.9579,                 2.2381,                0.00182,                0.14286,                0.00273,                0.00027,                 2.0928,                 4.6654,                 2.0882,             2.0304e-05,             2.0304e-05,             2.0304e-05
                      5,                 1.9914,                 3.8658,                  1.861,                0.00182,                0.14286,                0.00261,                0.00026,                   2.09,                 4.6505,                 2.0757,             1.3869e-05,             1.3869e-05,             1.3869e-05
                      1,                 2.3583,                 3.9703,                 1.9692,                0.00185,                0.14286,                0.00329,                0.00033,                 2.1043,                 4.7281,                 2.0877,                      0,                      0,                      0
                      2,                 1.2608,                 3.4727,                 1.3937,                0.00184,                0.14286,                0.00316,                0.00032,                 2.1534,                  4.675,                 2.1642,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                  1.945,                 3.5926,                 1.8144,                0.00183,                0.14286,                0.00301,                 0.0003,                 2.1218,                 4.6707,                 2.1103,             1.1336e-05,             1.1336e-05,             1.1336e-05
